Date,Close (BNB),Close (BTC),Close (USDT),Close (ETH)
22-01-18,13.0146,10931.40039,1.00504,1003.26001
23-01-18,13.0935,10868.40039,1.00505,986.229004
24-01-18,13.6287,11359.40039,0.997484,1058.780029
25-01-18,13.2284,11259.40039,0.999595,1056.030029
26-01-18,13.2182,11171.40039,1.00414,1055.170044
27-01-18,13.253,11440.7002,0.993325,1107.069946
28-01-18,13.5402,11786.29981,0.98879,1246.01001
29-01-18,12.7645,11296.40039,0.995319,1182.359985
30-01-18,11.2507,10106.29981,0.986486,1071.130005
31-01-18,11.145,10221.09961,0.990274,1118.310059
01-02-18,9.51584,9170.540039,0.986939,1036.790039
02-02-18,9.65229,8830.75,0.990747,915.784973
03-02-18,9.74968,9174.910156,1.00131,964.018982
04-02-18,8.45864,8277.009766,1.01013,834.682007
05-02-18,6.70503,6955.27002,0.996308,697.950989
06-02-18,8.28885,7754,1.01009,793.122009
07-02-18,8.09501,7621.299805,1.0014,757.067993
08-02-18,8.5955,8265.589844,1.01891,817.807007
09-02-18,9.73046,8736.980469,1.00211,883.86499
10-02-18,9.25597,8621.900391,1.0037,860.414978
11-02-18,8.70491,8129.970215,0.999251,814.659973
12-02-18,9.32247,8926.570313,1.00009,868.70697
13-02-18,8.98678,8598.30957,1.0011,845.257996
14-02-18,10.4006,9494.629883,1.00077,923.560974
15-02-18,10.9311,10166.40039,1.00541,936.976013
16-02-18,11.2016,10233.90039,1.0021,944.210022
17-02-18,11.6893,11112.7002,1.0037,974.11499
18-02-18,10.7024,10551.79981,1.00519,923.921021
19-02-18,11.0757,11225.29981,1.00061,943.86499
20-02-18,9.90451,11403.7002,1.00061,895.370972
21-02-18,9.38079,10690.40039,1.00097,849.971008
22-02-18,8.90403,10005,1.00409,812.844971
23-02-18,9.69211,10301.09961,1.00157,864.189026
24-02-18,9.14191,9813.070313,1.00284,840.515015
25-02-18,9.3466,9664.730469,1.00034,844.809998
26-02-18,9.90232,10366.7002,0.999561,869.315002
27-02-18,10.6599,10725.59961,1.00052,878.265015
28-02-18,10.4382,10397.90039,0.998903,855.198975
01-03-18,10.5097,10951,1.00042,872.200012
02-03-18,10.2248,11086.40039,0.99973,856.853027
03-03-18,10.2179,11489.7002,1.00087,857.224976
04-03-18,10.3481,11512.59961,0.997612,866.677979
05-03-18,10.1105,11573.29981,0.998864,853.684021
06-03-18,9.38438,10779.90039,1.0005,816.950989
07-03-18,9.03488,9965.570313,1.00248,752.830994
08-03-18,8.31044,9395.009766,1.00591,704.596008
09-03-18,8.31307,9337.549805,1.00166,728.916016
10-03-18,7.67166,8866,1.00519,686.890015
11-03-18,8.27238,9578.629883,1.00384,723.338989
12-03-18,8.03927,9205.120117,1.00235,699.830994
13-03-18,10.1152,9194.849609,0.999843,690.827026
14-03-18,8.95921,8269.80957,1.00275,614.291016
15-03-18,9.09908,8300.860352,1.00128,611.304016
16-03-18,9.11132,8338.349609,0.998551,601.666016
17-03-18,8.98774,7916.879883,1.00162,552.778992
18-03-18,8.95185,8223.679688,1.00308,538.643982
19-03-18,8.99274,8630.650391,0.989867,556.726013
20-03-18,9.16093,8913.469727,0.996832,557.174988
21-03-18,9.982,8929.280273,0.999244,561.731995
22-03-18,10.0663,8728.469727,0.998982,539.702026
23-03-18,11.7376,8879.620117,0.990235,539.619019
24-03-18,13.0891,8668.120117,1.0091,526.439026
25-03-18,12.7831,8495.780273,0.999686,524.286987
26-03-18,12.0614,8209.400391,1.00341,489.950989
27-03-18,11.5083,7833.040039,1.00161,450.115997
28-03-18,11.6404,7954.47998,0.999204,446.278992
29-03-18,10.1961,7165.700195,0.998623,385.967987
30-03-18,10.3504,6890.52002,0.998943,394.644989
31-03-18,11.0559,6973.529785,1.00077,396.457001
01-04-18,11.0662,6844.22998,0.99981,379.606995
02-04-18,12.6207,7083.799805,1.00013,386.424988
03-04-18,13.3607,7456.109863,1.00037,416.893005
04-04-18,12.1904,6853.839844,1.00083,380.542999
05-04-18,12.4536,6811.470215,1.00253,383.231995
06-04-18,12.2584,6636.319824,1.00109,370.285004
07-04-18,12.4557,6911.089844,0.999644,385.313995
08-04-18,12.1176,7023.52002,0.996809,400.507996
09-04-18,11.8683,6770.72998,0.997555,398.526001
10-04-18,12.0362,6834.759766,0.997356,414.243011
11-04-18,12.2309,6968.319824,1.00025,430.540009
12-04-18,12.9525,7889.25,0.996831,492.94101
13-04-18,13.5368,7895.959961,0.998895,492.734985
14-04-18,13.2444,7986.240234,0.999766,501.477997
15-04-18,13.0588,8329.110352,0.998602,531.702026
16-04-18,12.21,8058.669922,0.997592,511.147003
17-04-18,11.7694,7902.089844,0.998556,502.894012
18-04-18,12.2757,8163.419922,0.997609,524.789001
19-04-18,12.3526,8294.30957,0.997185,567.888977
20-04-18,12.5752,8845.830078,0.998338,615.718018
21-04-18,13.3784,8895.580078,0.999014,605.39502
22-04-18,12.8759,8802.459961,0.996196,621.859985
23-04-18,13.6253,8930.879883,0.997847,642.547974
24-04-18,15.266,9697.5,1.00476,708.15802
25-04-18,13.2909,8845.740234,0.991809,615.416016
26-04-18,14.6536,9281.509766,0.999614,662.809021
27-04-18,14.3291,8987.049805,1.00415,647.031982
28-04-18,15.2001,9348.480469,0.999335,683.677979
29-04-18,15.0562,9419.080078,0.998016,688.880981
30-04-18,14.3121,9240.549805,0.998919,669.924011
01-05-18,14.1643,9119.009766,1.00349,673.612976
02-05-18,14.4092,9235.919922,0.997464,687.148987
03-05-18,14.6526,9743.860352,0.997973,779.54303
04-05-18,14.3295,9700.759766,0.998561,785.624023
05-05-18,14.3687,9858.150391,0.996284,816.119995
06-05-18,13.9426,9654.799805,0.997202,792.310974
07-05-18,13.7025,9373.009766,0.997237,753.724976
08-05-18,13.529,9234.820313,1.00212,752.856995
09-05-18,14.6602,9325.179688,1.00051,752.275024
10-05-18,13.8184,9043.94043,1.00134,727.276978
11-05-18,12.9939,8441.490234,1.00225,679.585999
12-05-18,12.9439,8504.889648,1.0011,686.047974
13-05-18,13.1187,8723.94043,1.00325,733.495972
14-05-18,12.8707,8716.790039,1.00127,730.549011
15-05-18,12.5678,8510.379883,1.00114,708.870972
16-05-18,12.2605,8368.830078,0.99995,707.049988
17-05-18,12.465,8094.319824,1.00019,672.656982
18-05-18,15.1354,8250.969727,1.00111,694.367004
19-05-18,14.2457,8247.179688,1.00036,696.530029
20-05-18,14.1178,8513.25,0.999117,715.369019
21-05-18,14.7223,8418.990234,1.00297,699.221985
22-05-18,13.9255,8041.779785,1.00297,647.741028
23-05-18,12.6262,7557.819824,1.00402,583.585022
24-05-18,13.0003,7587.339844,0.998818,601.755005
25-05-18,13.008,7480.140137,1.00044,586.734009
26-05-18,12.7591,7355.879883,0.99989,587.280029
27-05-18,12.6058,7368.220215,0.999182,572.66803
28-05-18,11.8943,7135.990234,1.00249,516.036011
29-05-18,12.5717,7472.589844,1.00068,565.388
30-05-18,12.5709,7406.52002,0.999727,559.590027
31-05-18,14.1902,7494.169922,0.998003,577.64502
01-06-18,14.2408,7541.450195,1.00099,580.04303
02-06-18,14.6797,7643.450195,0.99353,591.807983
03-06-18,14.566,7720.25,1.0001,618.328979
04-06-18,14.2611,7514.470215,1.00052,592.984985
05-06-18,15.5993,7633.759766,1.00102,609.302979
06-06-18,17.247499,7653.97998,1.00069,607.124023
07-06-18,16.2631,7678.240234,0.99875,605.187012
08-06-18,16.2738,7624.919922,1.00179,601.077026
09-06-18,15.9632,7531.97998,1.00608,597.562012
10-06-18,14.1842,6786.02002,0.998215,526.479004
11-06-18,15.3835,6906.919922,1.00193,533.283997
12-06-18,15.2262,6582.359863,1.00077,496.842987
13-06-18,14.5891,6349.899902,1.00353,477.493988
14-06-18,14.8953,6675.350098,1.00395,519.742004
15-06-18,15.0481,6456.580078,1.00695,491.003998
16-06-18,15.8092,6550.160156,1.00424,499.641998
17-06-18,16.5788,6499.27002,1.00548,500.447998
18-06-18,16.8797,6734.819824,1.00283,518.890991
19-06-18,16.6996,6769.939941,1.00022,537.95697
20-06-18,16.061899,6776.549805,0.998829,536.268005
21-06-18,17.053301,6729.740234,1.00053,527.367004
22-06-18,15.5939,6083.689941,1.003,465.816986
23-06-18,15.5512,6162.47998,1.00198,474.519989
24-06-18,14.4476,6173.22998,1.0051,457.671997
25-06-18,14.9209,6249.180176,1.00062,460.309998
26-06-18,14.12,6093.669922,1.00056,432.772003
27-06-18,14.0501,6157.129883,0.997935,442.36499
28-06-18,14.1246,5903.439941,0.997193,422.36499
